taxonOrder,taxonFamily,ncbiNumberOfSpecies,boldNumberOfSpecies,boldNumberOfSequences,dcMNumberOfSpecies,dcF346FreshwaterNumberOfSpecies,S2I3C66MNumberOfSpecies,S2I3C75FNumberOfSpecies,S2I4C29MNumberOfSpecies,S2I5C32FNumberOfSpecies,S3I2C74MNumberOfSpecies,S3I2C75FNumberOfSpecies,S8I2C36MNumberOfSpecies,S8I2C34FNumberOfSpecies,dcMNumberOfSequences,dcF346FreshwaterNumberOfSequences,S2I3C66MNumberOfSequences,S2I3C75FNumberOfSequences,S2I4C29MNumberOfSequences,S2I5C32FNumberOfSequences,S3I2C74MNumberOfSequences,S3I2C75FNumberOfSequences,S8I2C36MNumberOfSequences,S8I2C34FNumberOfSequences
Pleuronectiformes,Euclichthyidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleuronectiformes,Nematogenyidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleuronectiformes,Congrogadidae,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleuronectiformes,Symphysanodontidae,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleuronectiformes,Milyeringidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Characiformes,Crenuchidae,35,11,72,0,11,0,10,0,5,0,11,0,11,0,72,0,64,0,20,0,72,0,64
Characiformes,Cynodontidae,2,2,19,0,2,0,2,0,2,0,2,0,2,0,14,0,14,0,7,0,14,0,14
Characiformes,Apistidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Characiformes,Paralichthodidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Parascorpididae,1,1,3,1,0,1,0,0,0,1,0,1,0,3,0,3,0,0,0,3,0,3,0
Perciformes,Protanguillidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Lateolabracidae,8,2,12,2,0,2,0,0,0,2,0,2,0,11,0,10,0,0,0,11,0,11,0
Perciformes,Aphyonidae,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeiformes,Zenionidae,6,1,5,1,0,1,0,0,0,1,0,1,0,5,0,5,0,0,0,5,0,5,0
Zeiformes,Kryptoglanidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeiformes,Ellopostomatidae,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeiformes,Barbuccidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeiformes,Psilorhynchidae,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeiformes,Serpenticobitidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeiformes,Vaillantellidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeiformes,Iguanodectidae,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeiformes,Chalceidae,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeiformes,Triportheidae,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentiniformes,Bathylagidae,18,10,60,10,0,6,0,5,0,9,0,9,0,59,0,44,0,34,0,47,0,36,0
Argentiniformes,Diplophidae,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentiniformes,Bathysauroididae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentiniformes,Thalasseleotrididae,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentiniformes,Amarsipidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anabantiformes,Badidae,30,2,7,0,2,0,2,0,1,0,2,0,1,0,7,0,7,0,1,0,7,0,4
Anabantiformes,Pristolepididae,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atheriniformes,Isonidae,5,1,5,1,0,1,0,1,0,1,0,1,0,5,0,5,0,5,0,5,0,5,0
Beloniformes,Zenarchopteridae,58,4,31,2,1,2,1,1,1,2,0,2,0,9,17,9,17,4,11,9,0,9,0
Perciformes,Hapalogenyidae,6,1,8,1,0,1,0,0,0,1,0,1,0,8,0,8,0,0,0,8,0,8,0
Perciformes,Cheimarrichthyidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Niphonidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Pseudaphritidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Parabrotulidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Radiicephalidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeiformes,Cyttidae,3,1,2,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
Zeiformes,Gaidropsaridae,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeiformes,Percalatidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeiformes,Zanclorhynchidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeiformes,Jordaniidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeiformes,Chaudhuriidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeiformes,Tarumaniidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siluriformes,Claroteidae,45,15,62,0,15,0,9,0,4,0,15,0,15,0,62,0,42,0,31,0,61,0,61
Siluriformes,Auchenoglanididae,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siluriformes,Gastromyzontidae,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siluriformes,Acheilognathidae,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
