taxonOrder,taxonFamily,ncbiNumberOfSpecies,boldNumberOfSpecies,boldNumberOfSequences,dcMNumberOfSpecies,dcF346FreshwaterNumberOfSpecies,S2I3C66MNumberOfSpecies,S2I3C75FNumberOfSpecies,S2I4C29MNumberOfSpecies,S2I5C32FNumberOfSpecies,S3I2C74MNumberOfSpecies,S3I2C75FNumberOfSpecies,S8I2C36MNumberOfSpecies,S8I2C34FNumberOfSpecies,dcMNumberOfSequences,dcF346FreshwaterNumberOfSequences,S2I3C66MNumberOfSequences,S2I3C75FNumberOfSequences,S2I4C29MNumberOfSequences,S2I5C32FNumberOfSequences,S3I2C74MNumberOfSequences,S3I2C75FNumberOfSequences,S8I2C36MNumberOfSequences,S8I2C34FNumberOfSequences
Stomiiformes,Stomiidae,142,26,115,26,0,16,0,11,0,26,0,25,0,104,0,54,0,29,0,97,0,72,0
Osmeriformes,Retropinnidae,5,1,5,1,0,1,0,1,0,1,0,1,0,5,0,5,0,5,0,5,0,5,0
Galaxiiformes,Galaxiidae,72,4,8,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Alepocephaliformes,Alepocephalidae,47,7,45,7,0,4,0,3,0,7,0,7,0,45,0,35,0,28,0,45,0,42,0
Anguilliformes,Saccopharyngidae,3,1,5,1,0,1,0,0,0,1,0,1,0,4,0,2,0,0,0,3,0,1,0
Cyprinodontiformes,Anablepidae,15,2,26,1,1,1,1,1,1,1,1,0,1,7,19,7,17,7,15,7,17,0,6
Ateleopodiformes,Ateleopodidae,10,1,4,1,0,1,0,0,0,1,0,1,0,4,0,4,0,0,0,4,0,4,0
Tetraodontiformes,Monacanthidae,73,25,154,25,0,24,0,13,0,25,0,25,0,153,0,139,0,49,0,153,0,153,0
Notacanthiformes,Halosauridae,11,1,10,1,0,1,0,0,0,1,0,1,0,10,0,5,0,0,0,10,0,5,0
Scorpaeniformes,Trichodontidae,2,2,14,2,0,2,0,1,0,2,0,2,0,14,0,14,0,5,0,14,0,8,0
Scorpaeniformes,Aulorhynchidae,2,1,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Syngnathiformes,Aulostomidae,4,2,25,2,0,2,0,2,0,2,0,2,0,25,0,22,0,8,0,25,0,24,0
Syngnathiformes,Pseudomugilidae,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syngnathiformes,Phycidae,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scombriformes,Centrolophidae,29,12,60,10,1,10,0,7,0,10,0,8,0,53,1,47,0,40,0,53,0,40,0
Perciformes,Arripidae,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Hypoptychidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Eleginopidae,1,1,6,1,0,1,0,0,0,1,0,0,0,6,0,3,0,0,0,3,0,0,0
Perciformes,Odontobutidae,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentiniformes,Argentinidae,11,4,57,4,0,4,0,2,0,4,0,4,0,56,0,43,0,25,0,54,0,47,0
Argentiniformes,Microstomatidae,12,4,12,3,0,3,0,1,0,3,0,3,0,9,0,9,0,4,0,9,0,9,0
Alepocephaliformes,Platytroctidae,19,10,37,9,0,6,0,2,0,9,0,9,0,33,0,16,0,7,0,32,0,21,0
Argentiniformes,Opisthoproctidae,11,2,11,2,0,1,0,1,0,2,0,2,0,11,0,6,0,5,0,11,0,11,0
Pleuronectiformes,Paralichthyidae,74,32,219,32,0,27,0,23,0,30,0,27,0,210,0,171,0,136,0,202,0,172,0
Pleuronectiformes,Giganturidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aulopiformes,Ipnopidae,16,3,9,3,0,2,0,0,0,3,0,3,0,9,0,3,0,0,0,6,0,4,0
Aulopiformes,Scopelarchidae,20,2,12,2,0,1,0,1,0,2,0,2,0,11,0,8,0,6,0,11,0,11,0
Aulopiformes,Notosudidae,12,5,16,5,0,3,0,2,0,4,0,3,0,15,0,8,0,5,0,13,0,10,0
Aulopiformes,Bathysauridae,2,1,10,1,0,1,0,0,0,1,0,1,0,10,0,6,0,0,0,5,0,1,0
Aulopiformes,Pseudotrichonotidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aulopiformes,Paralepididae,29,8,36,8,0,7,0,5,0,8,0,7,0,34,0,22,0,15,0,31,0,21,0
Aulopiformes,Evermannellidae,8,2,4,2,0,1,0,1,0,1,0,1,0,4,0,1,0,1,0,2,0,2,0
Carangiformes,Echeneidae,10,5,20,4,0,4,0,4,0,4,0,4,0,19,0,14,0,9,0,19,0,18,0
Carangiformes,Gnathanacanthidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scorpaeniformes,Congiopodidae,4,3,22,3,0,3,0,2,0,3,0,2,0,20,0,19,0,7,0,19,0,9,0
Scorpaeniformes,Pataecidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scorpaeniformes,Aploactinidae,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scorpaeniformes,Plectrogeniidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scorpaeniformes,Parabembridae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scorpaeniformes,Bembridae,5,1,4,1,0,1,0,0,0,1,0,1,0,4,0,4,0,0,0,4,0,4,0
Scorpaeniformes,Peristediidae,29,4,32,4,0,4,0,3,0,4,0,4,0,32,0,29,0,15,0,32,0,30,0
Scorpaeniformes,Caracanthidae,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophidiiformes,Carapidae,17,4,16,4,0,3,0,2,0,4,0,4,0,16,0,13,0,11,0,16,0,15,0
Ophidiiformes,Bythitidae,60,4,14,4,0,4,0,2,0,4,0,4,0,14,0,14,0,7,0,14,0,14,0
Lophiiformes,Chaunacidae,12,2,7,2,0,2,0,0,0,2,0,1,0,7,0,6,0,0,0,7,0,5,0
Lophiiformes,Caulophrynidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophiiformes,Melanocetidae,2,1,6,1,0,1,0,1,0,1,0,1,0,6,0,3,0,1,0,3,0,2,0
Scorpaeniformes,Indostomidae,3,1,6,0,1,0,1,0,0,0,1,0,0,0,6,0,6,0,0,0,6,0,0
Acanthuriformes,Emmelichthyidae,13,5,57,5,0,5,0,5,0,5,0,5,0,56,0,55,0,54,0,56,0,55,0
Osmeriformes,Salangidae,44,2,19,2,0,2,0,1,0,2,0,2,0,19,0,19,0,3,0,19,0,19,0
Scorpaeniformes,Liparidae,143,43,390,40,0,34,0,25,0,38,0,34,0,356,0,260,0,117,0,340,0,228,0
Pleuronectiformes,Samaridae,10,1,2,1,0,1,0,0,0,1,0,1,0,2,0,2,0,0,0,2,0,2,0
Pleuronectiformes,Achiridae,16,4,28,3,0,3,0,3,0,3,0,3,0,13,0,11,0,10,0,13,0,13,0
Cyprinodontiformes,Valenciidae,3,3,16,0,2,0,2,0,2,0,2,0,2,0,11,0,11,0,11,0,11,0,10
Gobiiformes,Ambassidae,53,10,55,6,3,6,3,4,0,6,3,6,2,27,17,20,13,7,0,27,16,26,14
Lophiiformes,Ceratiidae,6,2,4,2,0,1,0,0,0,2,0,1,0,2,0,1,0,0,0,2,0,1,0
Lophiiformes,Bedotiidae,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syngnathiformes,Centriscidae,9,4,59,4,0,4,0,3,0,4,0,4,0,59,0,57,0,35,0,59,0,56,0
Trachiniformes,Pinguipedidae,57,16,77,15,0,13,0,5,0,14,0,12,0,73,0,63,0,34,0,70,0,65,0
Trachiniformes,Chiasmodontidae,18,5,22,5,0,4,0,3,0,5,0,4,0,19,0,12,0,9,0,18,0,10,0
Syngnathiformes,Fistulariidae,4,2,24,2,0,2,0,2,0,2,0,2,0,24,0,18,0,11,0,24,0,23,0
Stomiiformes,Phosichthyidae,96,6,32,6,0,5,0,4,0,6,0,5,0,31,0,21,0,14,0,31,0,27,0
Stomiiformes,Tetrarogidae,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophiiformes,Ogcocephalidae,33,6,33,6,0,5,0,4,0,6,0,5,0,33,0,32,0,20,0,33,0,32,0
Lophiiformes,Pegasidae,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Bramidae,18,5,48,5,0,5,0,5,0,5,0,5,0,46,0,44,0,23,0,42,0,39,0
Perciformes,Caristiidae,7,3,16,3,0,2,0,2,0,2,0,2,0,14,0,12,0,12,0,12,0,12,0
Perciformes,Enoplosidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Icosteidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Draconettidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Kurtidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scombriformes,Nomeidae,18,8,30,8,0,7,0,6,0,8,0,8,0,28,0,20,0,18,0,28,0,25,0
Perciformes,Epigonidae,12,3,15,3,0,2,0,2,0,3,0,2,0,15,0,13,0,13,0,15,0,13,0
Perciformes,Telmatherinidae,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Notocheiridae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Odacidae,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophiiformes,Antennariidae,45,7,29,7,0,7,0,5,0,7,0,7,0,29,0,28,0,13,0,29,0,28,0
Lophiiformes,Oneirodidae,28,7,16,7,0,3,0,0,0,5,0,4,0,15,0,3,0,0,0,8,0,4,0
Lophiiformes,Gigantactinidae,10,1,2,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,0,2,0,1,0
Lophiiformes,Himantolophidae,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophiiformes,Linophrynidae,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophiiformes,Tetrabrachiidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophiiformes,Helostomatidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siluriformes,Pseudopimelodidae,28,7,27,0,7,0,7,0,3,0,7,0,7,0,27,0,27,0,9,0,27,0,27
Clupeiformes,Pristigasteridae,18,2,13,1,0,1,0,0,0,1,0,1,0,8,0,7,0,0,0,8,0,8,0
Clupeiformes,Solenostomidae,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gobiiformes,Opistognathidae,28,6,73,6,0,5,0,5,0,6,0,5,0,73,0,69,0,49,0,73,0,46,0
Gobiiformes,Callanthiidae,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perciformes,Cepolidae,15,2,25,2,0,2,0,1,0,2,0,2,0,22,0,13,0,5,0,22,0,17,0
Trachiniformes,Creediidae,7,2,9,2,0,2,0,1,0,2,0,2,0,9,0,9,0,2,0,9,0,9,0
Anabantiformes,Osphronemidae,145,36,462,0,30,0,22,0,14,0,26,0,17,0,404,0,346,0,185,0,317,0,105
Trachiniformes,Percophidae,17,1,8,1,0,1,0,1,0,1,0,1,0,6,0,3,0,1,0,6,0,1,0
Trachiniformes,Champsodontidae,13,1,5,1,0,1,0,1,0,1,0,1,0,5,0,5,0,2,0,5,0,5,0
Trachiniformes,Phallostethidae,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
