iso2	lat	lon	iso3
SA	23.885942	45.079162	SAU
SB	-9.64571	160.156194	SLB
SC	-4.679574	55.491977	SYC
SD	12.862807	30.217636	SDN
SE	60.128161	18.643501	SWE
SG	1.352083	103.819836	SGP
SH	-24.143474	-10.030696	SHN
SI	46.151241	14.995463	SVN
SJ	77.553604	23.670272	SJM
SK	48.669026	19.699024	SVK
SL	8.460555	-11.779889	SLE
SM	43.94236	12.457777	SMR
SN	14.497401	-14.452362	SEN
SO	5.152149	46.199616	SOM
SR	3.919305	-56.027783	SUR
ST	0.18636	6.613081	STP
SV	13.794185	-88.89653	SLV
SY	34.802075	38.996815	SYR
SZ	-26.522503	31.465866	SWZ
TC	21.694025	-71.797928	TCA
TD	15.454166	18.732207	TCD
TF	-49.280366	69.348557	ATF
TG	8.619543	0.824782	TGO
TH	15.870032	100.992541	THA
TJ	38.861034	71.276093	TJK
TK	-8.967363	-171.855881	TKL
TM	38.969719	59.556278	TKM
TN	33.886917	9.537499	TUN
TO	-21.178986	-175.198242	TON
TR	38.963745	35.243322	TUR
TT	10.691803	-61.222503	TTO
TV	-7.109535	177.64933	TUV
TW	23.69781	120.960515	TWN
TZ	-6.369028	34.888822	TZA
UA	48.379433	31.16558	UKR
UG	1.373333	32.290275	UGA
US	37.09024	-95.712891	USA
UY	-32.522779	-55.765835	URY
UZ	41.377491	64.585262	UZB
VA	41.902916	12.453389	VAT
VC	12.984305	-61.287228	VCT
VE	6.42375	-66.58973	VEN
VG	18.420695	-64.639968	VGB
VI	18.335765	-64.896335	VIR
VN	14.058324	108.277199	VNM
VU	-15.376706	166.959158	VUT
WF	-13.768752	-177.156097	WLF
WS	-13.759029	-172.104629	WSM
YE	15.552727	48.516388	YEM
YT	-12.8275	45.166244	MYT
ZA	-30.559482	22.937506	ZAF
ZM	-13.133897	27.849332	ZMB
ZW	-19.015438	29.154857	ZWE
NA	-22.95764	18.49041	NAM
