"","cell","left","top","right","bottom","Distance_from_shore"
"168",2862,-9767530.4452,2657769.8635,-9567530.4452,2457769.8635,NA
"169",2863,-9767530.4452,2857769.8635,-9567530.4452,2657769.8635,NA
"170",2864,-9767530.4452,3057769.8635,-9567530.4452,2857769.8635,NA
"171",2865,-9767530.4452,3257769.8635,-9567530.4452,3057769.8635,NA
"172",2867,-9767530.4452,3657769.8635,-9567530.4452,3457769.8635,NA
"173",2868,-9767530.4452,3857769.8635,-9567530.4452,3657769.8635,NA
"174",2871,-9767530.4452,4457769.8635,-9567530.4452,4257769.8635,NA
"175",2874,-9767530.4452,5057769.8635,-9567530.4452,4857769.8635,NA
"176",2934,-9567530.4452,2257769.8635,-9367530.4452,2057769.8635,12.450749514734
"177",2936,-9567530.4452,2657769.8635,-9367530.4452,2457769.8635,16.4216500585494
"178",2937,-9567530.4452,2857769.8635,-9367530.4452,2657769.8635,29.9635935592453
"179",2938,-9567530.4452,3057769.8635,-9367530.4452,2857769.8635,36.9839370294529
"180",2941,-9567530.4452,3657769.8635,-9367530.4452,3457769.8635,NA
"181",2942,-9567530.4452,3857769.8635,-9367530.4452,3657769.8635,NA
"182",2943,-9567530.4452,4057769.8635,-9367530.4452,3857769.8635,NA
"183",2944,-9567530.4452,4257769.8635,-9367530.4452,4057769.8635,NA
"184",2945,-9567530.4452,4457769.8635,-9367530.4452,4257769.8635,NA
"185",2948,-9567530.4452,5057769.8635,-9367530.4452,4857769.8635,NA
"186",3009,-9367530.4452,2457769.8635,-9167530.4452,2257769.8635,41.8453541615151
"187",3010,-9367530.4452,2657769.8635,-9167530.4452,2457769.8635,90.4275875505474
"188",3015,-9367530.4452,3657769.8635,-9167530.4452,3457769.8635,25.0109089024143
"189",3016,-9367530.4452,3857769.8635,-9167530.4452,3657769.8635,NA
"190",3017,-9367530.4452,4057769.8635,-9167530.4452,3857769.8635,NA
"191",3018,-9367530.4452,4257769.8635,-9167530.4452,4057769.8635,NA
"192",3019,-9367530.4452,4457769.8635,-9167530.4452,4257769.8635,NA
"193",3020,-9367530.4452,4657769.8635,-9167530.4452,4457769.8635,NA
"194",3021,-9367530.4452,4857769.8635,-9167530.4452,4657769.8635,NA
"195",3022,-9367530.4452,5057769.8635,-9167530.4452,4857769.8635,NA
"196",3023,-9367530.4452,5257769.8635,-9167530.4452,5057769.8635,NA
"197",3024,-9367530.4452,5457769.8635,-9167530.4452,5257769.8635,NA
"198",3025,-9367530.4452,5657769.8635,-9167530.4452,5457769.8635,NA
"199",3026,-9367530.4452,5857769.8635,-9167530.4452,5657769.8635,NA
"200",3033,-9367530.4452,7257769.8635,-9167530.4452,7057769.8635,15.8856710145601
"201",3090,-9167530.4452,3857769.8635,-8967530.4452,3657769.8635,6.16927798837423
"202",3091,-9167530.4452,4057769.8635,-8967530.4452,3857769.8635,NA
"203",3092,-9167530.4452,4257769.8635,-8967530.4452,4057769.8635,NA
"204",3093,-9167530.4452,4457769.8635,-8967530.4452,4257769.8635,NA
"205",3094,-9167530.4452,4657769.8635,-8967530.4452,4457769.8635,NA
"206",3095,-9167530.4452,4857769.8635,-8967530.4452,4657769.8635,NA
"207",3099,-9167530.4452,5657769.8635,-8967530.4452,5457769.8635,NA
"208",3103,-9167530.4452,6457769.8635,-8967530.4452,6257769.8635,54.279981420669
"209",3145,-8967530.4452,57769.8635,-8767530.4452,-142230.1365,57.3932225700946
"210",3164,-8967530.4452,3857769.8635,-8767530.4452,3657769.8635,NA
"211",3165,-8967530.4452,4057769.8635,-8767530.4452,3857769.8635,NA
"212",3166,-8967530.4452,4257769.8635,-8767530.4452,4057769.8635,NA
"213",3167,-8967530.4452,4457769.8635,-8767530.4452,4257769.8635,NA
"214",3168,-8967530.4452,4657769.8635,-8767530.4452,4457769.8635,NA
"215",3169,-8967530.4452,4857769.8635,-8767530.4452,4657769.8635,NA
"216",3170,-8967530.4452,5057769.8635,-8767530.4452,4857769.8635,NA
"217",3171,-8967530.4452,5257769.8635,-8767530.4452,5057769.8635,NA
"218",3172,-8967530.4452,5457769.8635,-8767530.4452,5257769.8635,NA
"219",3218,-8767530.4452,-142230.1365,-8567530.4452,-342230.1365,66.5968911935402
"220",3219,-8767530.4452,57769.8635,-8567530.4452,-142230.1365,43.110027167547
"221",3229,-8767530.4452,2057769.8635,-8567530.4452,1857769.8635,7.31443921104074
"222",3230,-8767530.4452,2257769.8635,-8567530.4452,2057769.8635,NA
"223",3231,-8767530.4452,2457769.8635,-8567530.4452,2257769.8635,14.2240500585599
"224",3232,-8767530.4452,2657769.8635,-8567530.4452,2457769.8635,24.1557687520981
"225",3233,-8767530.4452,2857769.8635,-8567530.4452,2657769.8635,96.6701351301051
"226",3237,-8767530.4452,3657769.8635,-8567530.4452,3457769.8635,40.1997248207529
"227",3238,-8767530.4452,3857769.8635,-8567530.4452,3657769.8635,12.7675556796877
"228",3239,-8767530.4452,4057769.8635,-8567530.4452,3857769.8635,NA
"229",3240,-8767530.4452,4257769.8635,-8567530.4452,4057769.8635,NA
"230",3241,-8767530.4452,4457769.8635,-8567530.4452,4257769.8635,NA
"231",3242,-8767530.4452,4657769.8635,-8567530.4452,4457769.8635,NA
"232",3243,-8767530.4452,4857769.8635,-8567530.4452,4657769.8635,NA
"233",3244,-8767530.4452,5057769.8635,-8567530.4452,4857769.8635,NA
"234",3245,-8767530.4452,5257769.8635,-8567530.4452,5057769.8635,NA
"235",3246,-8767530.4452,5457769.8635,-8567530.4452,5257769.8635,NA
"236",3247,-8767530.4452,5657769.8635,-8567530.4452,5457769.8635,NA
"237",3297,-8567530.4452,857769.8635,-8367530.4452,657769.8635,449.480671681856
"238",3302,-8567530.4452,1857769.8635,-8367530.4452,1657769.8635,7.85944437874215
"239",3303,-8567530.4452,2057769.8635,-8367530.4452,1857769.8635,21.0379357523236
"240",3304,-8567530.4452,2257769.8635,-8367530.4452,2057769.8635,39.6844761338281
"241",3305,-8567530.4452,2457769.8635,-8367530.4452,2257769.8635,42.8233442186481
"242",3306,-8567530.4452,2657769.8635,-8367530.4452,2457769.8635,21.0833770289485
"243",3307,-8567530.4452,2857769.8635,-8367530.4452,2657769.8635,74.601493598768
"244",3311,-8567530.4452,3657769.8635,-8367530.4452,3457769.8635,104.697323123614
"245",3312,-8567530.4452,3857769.8635,-8367530.4452,3657769.8635,21.5586888337774
"246",3313,-8567530.4452,4057769.8635,-8367530.4452,3857769.8635,NA
"247",3314,-8567530.4452,4257769.8635,-8367530.4452,4057769.8635,NA
"248",3315,-8567530.4452,4457769.8635,-8367530.4452,4257769.8635,NA
"249",3316,-8567530.4452,4657769.8635,-8367530.4452,4457769.8635,NA
"250",3317,-8567530.4452,4857769.8635,-8367530.4452,4657769.8635,NA
"251",3318,-8567530.4452,5057769.8635,-8367530.4452,4857769.8635,NA
"252",3319,-8567530.4452,5257769.8635,-8367530.4452,5057769.8635,NA
"253",3320,-8567530.4452,5457769.8635,-8367530.4452,5257769.8635,NA
"254",3321,-8567530.4452,5657769.8635,-8367530.4452,5457769.8635,NA
"255",3368,-8367530.4452,257769.8635,-8167530.4452,57769.8635,413.055632856157
"256",3374,-8367530.4452,1457769.8635,-8167530.4452,1257769.8635,37.6542311631613
"257",3375,-8367530.4452,1657769.8635,-8167530.4452,1457769.8635,12.5392997089554
"258",3376,-8367530.4452,1857769.8635,-8167530.4452,1657769.8635,NA
"259",3377,-8367530.4452,2057769.8635,-8167530.4452,1857769.8635,19.999522715807
"260",3380,-8367530.4452,2657769.8635,-8167530.4452,2457769.8635,98.7659410983324
"261",3381,-8367530.4452,2857769.8635,-8167530.4452,2657769.8635,77.7560696939025
"262",3385,-8367530.4452,3657769.8635,-8167530.4452,3457769.8635,90.7841023013262
"263",3386,-8367530.4452,3857769.8635,-8167530.4452,3657769.8635,17.2297650314562
"264",3387,-8367530.4452,4057769.8635,-8167530.4452,3857769.8635,NA
"265",3388,-8367530.4452,4257769.8635,-8167530.4452,4057769.8635,NA
"266",3389,-8367530.4452,4457769.8635,-8167530.4452,4257769.8635,NA
"267",3390,-8367530.4452,4657769.8635,-8167530.4452,4457769.8635,NA
"268",3391,-8367530.4452,4857769.8635,-8167530.4452,4657769.8635,NA
"269",3393,-8367530.4452,5257769.8635,-8167530.4452,5057769.8635,NA
"270",3394,-8367530.4452,5457769.8635,-8167530.4452,5257769.8635,NA
"271",3447,-8167530.4452,1257769.8635,-7967530.4452,1057769.8635,32.8230334229726
"272",3448,-8167530.4452,1457769.8635,-7967530.4452,1257769.8635,47.2791376995279
"273",3449,-8167530.4452,1657769.8635,-7967530.4452,1457769.8635,51.7172696484514
"274",3455,-8167530.4452,2857769.8635,-7967530.4452,2657769.8635,21.8874644500075
"275",3458,-8167530.4452,3457769.8635,-7967530.4452,3257769.8635,98.300067522915
"276",3460,-8167530.4452,3857769.8635,-7967530.4452,3657769.8635,9.28928672025601
"277",3461,-8167530.4452,4057769.8635,-7967530.4452,3857769.8635,NA
"278",3462,-8167530.4452,4257769.8635,-7967530.4452,4057769.8635,NA
"279",3463,-8167530.4452,4457769.8635,-7967530.4452,4257769.8635,NA
"280",3464,-8167530.4452,4657769.8635,-7967530.4452,4457769.8635,NA
"281",3465,-8167530.4452,4857769.8635,-7967530.4452,4657769.8635,NA
"282",3466,-8167530.4452,5057769.8635,-7967530.4452,4857769.8635,NA
"283",3467,-8167530.4452,5257769.8635,-7967530.4452,5057769.8635,NA
"284",3468,-8167530.4452,5457769.8635,-7967530.4452,5257769.8635,NA
"285",3511,-7967530.4452,-742230.1365,-7767530.4452,-942230.1365,80.5499603963449
"286",3512,-7967530.4452,-542230.1365,-7767530.4452,-742230.1365,65.9237558055905
"287",3513,-7967530.4452,-342230.1365,-7767530.4452,-542230.1365,82.0233837609318
"288",3521,-7967530.4452,1257769.8635,-7767530.4452,1057769.8635,39.1121502178757
"289",3527,-7967530.4452,2457769.8635,-7767530.4452,2257769.8635,80.5437475547613
"290",3529,-7967530.4452,2857769.8635,-7767530.4452,2657769.8635,26.3072723970596
"291",3530,-7967530.4452,3057769.8635,-7767530.4452,2857769.8635,41.7899699773019
"292",3531,-7967530.4452,3257769.8635,-7767530.4452,3057769.8635,35.988090922331
"293",3532,-7967530.4452,3457769.8635,-7767530.4452,3257769.8635,12.6977973372528
"294",3533,-7967530.4452,3657769.8635,-7767530.4452,3457769.8635,29.5353245810937
"295",3534,-7967530.4452,3857769.8635,-7767530.4452,3657769.8635,42.6818376932389
"296",3535,-7967530.4452,4057769.8635,-7767530.4452,3857769.8635,13.6772127419307
"297",3536,-7967530.4452,4257769.8635,-7767530.4452,4057769.8635,NA
"298",3537,-7967530.4452,4457769.8635,-7767530.4452,4257769.8635,NA
"299",3538,-7967530.4452,4657769.8635,-7767530.4452,4457769.8635,NA
"300",3539,-7967530.4452,4857769.8635,-7767530.4452,4657769.8635,NA
"301",3540,-7967530.4452,5057769.8635,-7767530.4452,4857769.8635,NA
"302",3541,-7967530.4452,5257769.8635,-7767530.4452,5057769.8635,NA
"303",3542,-7967530.4452,5457769.8635,-7767530.4452,5257769.8635,NA
"304",3569,-7767530.4452,-3942230.1365,-7567530.4452,-4142230.1365,71.9941009743647
"305",3583,-7767530.4452,-1142230.1365,-7567530.4452,-1342230.1365,107.09803777511
"306",3584,-7767530.4452,-942230.1365,-7567530.4452,-1142230.1365,62.4273643553632
"307",3585,-7767530.4452,-742230.1365,-7567530.4452,-942230.1365,26.1958644993004
"308",3587,-7767530.4452,-342230.1365,-7567530.4452,-542230.1365,12.287530109708
"309",3595,-7767530.4452,1257769.8635,-7567530.4452,1057769.8635,21.1678552437589
"310",3603,-7767530.4452,2857769.8635,-7567530.4452,2657769.8635,18.8067592590904
"311",3605,-7767530.4452,3257769.8635,-7567530.4452,3057769.8635,52.2526644704748
"312",3606,-7767530.4452,3457769.8635,-7567530.4452,3257769.8635,61.9431936938908
"313",3609,-7767530.4452,4057769.8635,-7567530.4452,3857769.8635,58.0777456170147
"314",3610,-7767530.4452,4257769.8635,-7567530.4452,4057769.8635,10.0992272607982
"315",3611,-7767530.4452,4457769.8635,-7567530.4452,4257769.8635,NA
"316",3612,-7767530.4452,4657769.8635,-7567530.4452,4457769.8635,NA
"317",3613,-7767530.4452,4857769.8635,-7567530.4452,4657769.8635,NA
"318",3614,-7767530.4452,5057769.8635,-7567530.4452,4857769.8635,NA
"319",3615,-7767530.4452,5257769.8635,-7567530.4452,5057769.8635,NA
"320",3616,-7767530.4452,5457769.8635,-7567530.4452,5257769.8635,NA
"321",3617,-7767530.4452,5657769.8635,-7567530.4452,5457769.8635,NA
"322",3643,-7567530.4452,-3942230.1365,-7367530.4452,-4142230.1365,160.539250048724
"323",3655,-7567530.4452,-1542230.1365,-7367530.4452,-1742230.1365,78.4636873336997
"324",3656,-7567530.4452,-1342230.1365,-7367530.4452,-1542230.1365,42.4180976802475
"325",3663,-7567530.4452,57769.8635,-7367530.4452,-142230.1365,NA
"326",3669,-7567530.4452,1257769.8635,-7367530.4452,1057769.8635,44.4286910170922
"327",3679,-7567530.4452,3257769.8635,-7367530.4452,3057769.8635,25.5893249928519
"328",3681,-7567530.4452,3657769.8635,-7367530.4452,3457769.8635,227.992622080303
"329",3682,-7567530.4452,3857769.8635,-7367530.4452,3657769.8635,289.788163293492
"330",3684,-7567530.4452,4257769.8635,-7367530.4452,4057769.8635,35.6974517568946
"331",3685,-7567530.4452,4457769.8635,-7367530.4452,4257769.8635,5.54950275192303
"332",3686,-7567530.4452,4657769.8635,-7367530.4452,4457769.8635,7.03926126177355
"333",3687,-7567530.4452,4857769.8635,-7367530.4452,4657769.8635,NA
"334",3689,-7567530.4452,5257769.8635,-7367530.4452,5057769.8635,NA
