"","cell","x","y","GD_mean","GD_median","nb_species","nb_indv_mean","nb_indv_median","nb_indv_sd","ISO3","Cell","cloMeanVal","cloMinVal","cloMaxVal","bathyVal","AP","HDI_2015","fshD","O2","SST","VEL","is_marine","SlopeAbsMin","SlopeAvgMin","SlopeAbsMax","SlopeAvgMax","SlopeRange","SlopeAvg","FlowAcc"
"11",2208,-11467530.4452,4957769.8635,0.000766871165644172,0.000766871165644172,2,3,3,1.4142135623731,"USA","Land",NA,NA,NA,1528.57353824748,TRUE,"0.920",0.05036092,6,8.27716516442517,3.83739759841045,0,0,31.2670957361223,2778,950.553959315021,919.272382484772,259.01574531663,9052.86231467647
"12",2211,-11467530.4452,5557769.8635,0,0,1,5,5,NA,"CAN","Land",NA,NA,NA,1128.89577823489,TRUE,"0.920",0.072074993,5.91046315374393,4.68526509772932,8.7213989565879,0,0,87.7088658957192,4392,1855.0296206127,1768.11675796308,729.981537837289,10760.9927977277
"13",2212,-11467530.4452,5757769.8635,0.00460829493087558,0.00460829493087558,1,2,2,NA,"CAN","Land",NA,NA,NA,1507.6749656433,TRUE,"0.920",0.072074993,5.92555325248025,2.9847226798987,15.707146215033,0,0,133.09259626836,4482,2782.45970623263,2649.86363636364,1226.72856292179,4026.65015879317
"14",2213,-11467530.4452,5957769.8635,0.00311222878362987,0.00311222878362987,1,5,5,NA,"CAN","Land",NA,NA,NA,1202.05780129865,TRUE,"0.920",0.072074993,NA,1.38509076491899,22.9229631525256,0,0,46.4078184363127,4482,1222.90521895621,1176.71915616877,437.937812437512,2360.15536892622
"15",2356,-11067530.4452,4957769.8635,0.00262927256792288,0.00262927256792288,2,5.5,5.5,2.12132034355964,"USA","Land",NA,NA,NA,1583.70504063498,TRUE,"0.920",0.05036092,NA,6.41380080940464,4.72848313934153,0,0,44.8980087421078,3224,987.58353569694,942.835964060223,312.098227294803,13464.4939290918
"16",2430,-10867530.4452,4957769.8635,0,0,1,4,4,NA,"USA","Land",NA,NA,NA,1615.03317881636,TRUE,"0.920",0.05036092,NA,6.08229226990256,5.89802108272149,0,0,40.4505686789151,3224,1089.22539370079,1048.73797025372,304.725721784777,17347.8540026247
"17",2570,-10467530.4452,3357769.8635,0.00462962962962963,0.00462962962962963,1,2,2,NA,"MEX","Land",4.08444449636671,1.24177778760592,9.42500019073486,1068.94242372333,TRUE,"0.762",0.063064971,4.33777115919972,18.9214886494603,4.84869427261627,0,0,66.3671344499774,3508,1425.28715859363,1359.2444545043,492.17805945375,1792.42870076958
"18",2571,-10467530.4452,3557769.8635,0.00308641975308642,0.00308641975308642,1,5,5,NA,"MEX","Land",NA,NA,NA,1639.22206033436,TRUE,"0.762",0.063064971,4.44885389894349,18.113769431153,5.80768493810492,0,0,65.5762115884421,2239,1142.84834123223,1077.52040972328,433.311573153952,2516.73092799266
"19",2580,-10467530.4452,5357769.8635,0.00122699386503067,0.00122699386503067,1,5,5,NA,"USA","Land",NA,NA,NA,1032.18787558995,TRUE,"0.920",0.05036092,NA,5.20420929124156,31.7186907650428,0,0,22.7384363039913,3409,645.918534718425,623.262329141607,160.868234007654,8893.27588846364
"20",2642,-10267530.4452,2957769.8635,0.00309119010819165,0.00309119010819165,1,2,2,NA,"MEX","Land",1.73646875284612,0.466101564001292,4.11565626133233,661.373121755314,TRUE,"0.762",0.063064971,4.05022298158791,19.1547604972467,2.90466857804192,0,0,74.062578748425,2972,1483.68815623688,1409.95359092818,551.203065938681,1014.997900042
"21",2645,-10267530.4452,3557769.8635,0.00106496272630458,0.00106496272630458,1,3,3,NA,"MEX","Land",NA,NA,NA,1729.53137199963,TRUE,"0.762",0.063064971,4.81607418522543,17.8346132480508,7.20430991648291,0,0,40.1498567335244,1857,859.590401146132,819.587249283668,240.310888252149,2845.44154727794
"22",2648,-10267530.4452,4157769.8635,0.0193465153566251,0.0193465153566251,1,5,5,NA,"USA","Land",NA,NA,NA,1870.25486155147,TRUE,"0.920",0.05036092,NA,12.1799672692143,12.5126199062242,0,0,39.1914072891727,2346,729.065309922852,689.982708167066,210.675844639532,3515.4212556531
"23",2649,-10267530.4452,4357769.8635,0.0118442314379692,0.0118442314379692,2,3.5,3.5,0.707106781186548,"USA","Land",NA,NA,NA,2434.88444766189,TRUE,"0.920",0.05036092,NA,10.0460934006074,12.4344161383022,0,0,56.9990739515809,2554,1070.76002116682,1013.8698240508,391.047757639899,1744.7286678132
"24",2715,-10067530.4452,2757769.8635,0,0,1,3,3,NA,"MEX","Land",5.13928580284119,1.79385709762573,11.5509999820164,1371.33729938026,TRUE,"0.762",0.063064971,4,18.9505199535028,2.10874594785042,0,0,75.2059971888177,2759,1437.03451507106,1362.52459784476,509.899109792285,8860.27471497735
"25",2717,-10067530.4452,3157769.8635,0.00235173824130879,0.000920245398773006,3,4.33333333333333,5,1.15470053837925,"MEX","Land",NA,NA,NA,1639.60249302109,TRUE,"0.762",0.063064971,4.00554398291653,18.6971938708304,4.3496678962966,0,0,36.5263460984739,2480,848.809530665131,812.418658220559,240.582637489202,3259.86913331414
"26",2721,-10067530.4452,3957769.8635,0.0148261758691207,0.0148261758691207,2,3,3,0,"USA","Land",NA,NA,NA,1255.72669246347,TRUE,"0.920",0.05036092,NA,14.7972087656386,17.2034342453068,0,0,18.7983460559796,2484,458.895292620865,440.145547073791,116.810050890585,4148.58549618321
"27",2722,-10067530.4452,4157769.8635,0.00460122699386503,0.00460122699386503,1,2,2,NA,"USA","Land",NA,NA,NA,1449.62031338427,TRUE,"0.920",0.05036092,NA,12.7377635032334,19.0274958900715,0,0,14.4991880920162,1857,422.762246278755,408.318132611637,105.258186738836,2047.12138024357
"28",2723,-10067530.4452,4357769.8635,0.00153374233128834,0.00153374233128834,1,2,2,NA,"USA","Land",NA,NA,NA,1993.52834694725,TRUE,"0.920",0.05036092,NA,10.7126287155389,19.8939364281804,0,0,36.4559813212471,2240,699.498008515314,663.151078148606,235.403241313006,696.190907842329
