cell,ISO3,Cell,cloMeanVal,cloMinVal,cloMaxVal,bathyVal,AP,HDI_2015,fshD
3246,USA,Land,NA,NA,NA,250.214346436842,TRUE,0.920,0.05036092
3247,CAN,Land,NA,NA,NA,416.804766102738,TRUE,0.920,0.072074993
3297,CRI,Sea,0.17340631616743,0.121452631699411,0.273454736565289,-2622.9212109575,TRUE,0.776,0.05560111
3302,HND,Land,5.34527272256938,3.84270452911204,8.70000002059069,726.549160120341,TRUE,0.625,0.0452142
3303,HND,Land,1.05719047669499,0.414648811155487,2.48839881945224,196.592452440033,TRUE,0.625,0.0452142
3304,BLZ,Sea,0.619724675780767,0.445464933208831,0.896940256074651,-1447.05102750942,TRUE,0.706,0.642491964
3305,MEX,Sea,2.36736101151481,1.48624547964991,3.54034296541545,-759.452261306533,TRUE,0.762,0.063064971
3306,MEX,Land,0.41001709862652,0.299521368410852,0.600965815731603,-108.917358870968,TRUE,0.762,0.063064971
3307,MEX,Land,1.08528633418931,0.63920390628553,1.85594577240453,-51.2550850150961,TRUE,0.762,0.063064971
3311,USA,Sea,0.83498545310714,0.351038181849501,1.99969090797684,-867.129988747187,FALSE,0.920,0.05036092
3312,USA,Land,8.4485174477934,5.22785317126688,13.0888112158208,39.6522824800237,TRUE,0.920,0.05036092
3313,USA,Land,NA,NA,NA,90.5176117459858,TRUE,0.920,0.05036092
3314,USA,Land,NA,NA,NA,186.352221279004,TRUE,0.920,0.05036092
3315,USA,Land,NA,NA,NA,165.201024505053,TRUE,0.920,0.05036092
3316,USA,Land,NA,NA,NA,149.888328384397,TRUE,0.920,0.05036092
3317,USA,Land,NA,NA,NA,209.511703383163,TRUE,0.920,0.05036092
3318,USA,Land,NA,NA,NA,173.069659639319,TRUE,0.920,0.05036092
3319,USA,Land,NA,NA,NA,202.062431006991,TRUE,0.920,0.05036092
3320,USA,Land,NA,NA,NA,161.064045208382,TRUE,0.920,0.05036092
3321,CAN,Land,NA,NA,NA,258.749002472744,TRUE,0.920,0.072074993
3368,ECU,Sea,0.264762104875163,0.168018947918164,0.41812421146192,-2820.60389706976,FALSE,0.739,0.146381526
3374,CRI,Land,2.16172839437493,0.863366256402844,4.9944856049102,-284.540234235371,TRUE,0.776,0.05560111
3375,NIC,Land,2.3011923294801,0.572730769331639,6.6751152918889,256.730237010217,TRUE,0.645,0.061887043
3376,NIC,Land,NA,NA,NA,562.629044676114,TRUE,0.645,0.061887043
